Time;ms+-;Power;Stabw P;Gleichspannung;Gleichrichtwert;Effektivwert;Scheitelfaktor;Amplitude;Abs. MaxA;Stabw Ieff;Stabw Imid;Stabw Iss;THD;Phase;Number;OW0 [%];OW2 [%];OW3 [%];OW4 [%];OW5 [%];OW6 [%];OW7 [%];OW8 [%];OW9 [%];OW10 [%];OW11 [%];OW12 [%];OW13 [%];OW14 [%];Temperature;Conversion;EDRchannel;
0000;0E-10;740.0254702167;8.9390428667;-0.6947256333;24.4428045000;27.2111577000;1.4019475333;38.1486353833;49.3336569167;0.1643248000;0.6304787167;3.3084826000;11.2515657667;2.4466245167;48.7333333333;2.6733535167;2.7599953500;4.6324323000;0.1887488333;5.8345100333;0.1925096833;6.7066250333;0.1796957167;3.4132601500;0.1827053333;1.9980215167;0.1504587000;1.5563910167;0.1391155000;0E-10;0E-10;6.0410000000
0001;0E-10;742.6258842000;8.8787048167;-0.6977053167;24.4904782167;27.2588657500;1.4019475333;38.2155141167;49.2124570333;0.1627165500;0.6367903667;3.2910786167;11.1369065333;2.4196150333;48.4500000000;2.6689121167;2.7632902333;4.6130713500;0.1861052500;5.6676624667;0.1930472333;6.6935202833;0.1777929833;3.3735061500;0.1785074500;2.0691595167;0.1512050667;1.4494529167;0.1403402333;0E-10;0E-10;6.0410000000
0002;0E-10;746.2745094333;8.7488787500;-0.7035715000;24.5533067000;27.3261415500;1.4018025000;38.3058655667;49.1721318833;0.1599499167;0.6290770667;3.2337316500;11.1522820500;2.5017004667;48.4666666667;2.6851699000;2.7539559000;4.6046192167;0.1982371667;5.5669076667;0.1880935000;6.7850555833;0.1857137167;3.3827855833;0.1821438667;2.1938777000;0.1468030500;1.3651642500;0.1418739833;0E-10;0E-10;6.0410000000
0003;0E-10;745.0857181167;8.9351853000;-0.6935140833;24.5422269000;27.3039996833;1.4016466667;38.2705717833;49.2178314167;0.1634767500;0.6445408500;3.3574189000;11.1976086667;2.3505871333;48.5666666667;2.6518767000;2.7412311667;4.6220256500;0.1954554333;5.4687835333;0.1888963000;6.8199535000;0.1818957667;3.4935950500;0.1809600667;2.3294039500;0.1446884333;1.4267771667;0.1401800833;0E-10;0E-10;6.0410000000
0004;0E-10;741.2199619833;9.1813796333;-0.6957479000;24.4669328667;27.2334161000;1.4018124333;38.1761516333;49.1204832000;0.1684913667;0.6377910833;3.2846631833;11.1412103333;2.3710228000;48.5166666667;2.6615869833;2.7477968833;4.6228238000;0.1938777667;5.5951366833;0.1934825500;6.6948003167;0.1811716833;3.3746243667;0.1820627333;2.2373938500;0.1502957333;1.5080378667;0.1417176833;0E-10;0E-10;6.0410000000
0005;0E-10;203.2943214500;6.3592336833;-0.6979365833;11.6163112333;13.8416596833;1.3596010167;18.8498660333;30.6525122333;0.1881168500;0.2846182167;1.9049009500;24.9142860333;0.5827522833;48.4833333333;5.4991073167;0.9102685667;12.0544047167;0.3431235333;10.5093264167;0.2750323833;16.3172176667;0.2490648000;7.1875346500;0.3344968167;4.9312918333;0.2591799167;4.3749918500;0.2344077500;0E-10;0E-10;6.0410000000
0006;0E-10;163.2036675500;2.5172688000;-0.6995202000;10.6245167333;12.7941577833;1.3545108667;17.3298927333;29.4032147500;0.0980287667;0.2550018333;1.6364817167;26.8707908333;0.5462296167;48.6500000000;5.7487305000;0.7335833000;12.7076788667;0.3227629500;11.1675889333;0.2801673500;17.7017120667;0.2476308333;7.6354187667;0.3380242667;5.6049447667;0.2746661667;5.5532302167;0.2502627500;0E-10;0E-10;6.0410000000
0007;0E-10;160.9746969833;2.4870822500;-0.6942663000;10.5460043500;12.7066897000;1.3530700333;17.1930754333;29.2706327000;0.0974472000;0.2345262500;1.5413973333;27.4583719333;0.4474767667;48.6666666667;5.7505446000;0.6729085167;12.8188738167;0.3021637000;11.3651862167;0.2841945167;18.0347225167;0.2458837833;7.7717983333;0.3311791000;5.9801343333;0.2777772167;6.1146222500;0.2529753667;0E-10;0E-10;6.0410000000
0008;0E-10;151.6455922333;2.4178203167;-0.6953280667;10.1860149167;12.3316889500;1.3484819167;16.6298731667;28.7263777500;0.0977315667;0.2344519833;1.5510079667;28.6330985333;0.4648411000;48.0000000000;5.9601264833;0.6934402167;13.3728267500;0.2953339333;11.8310663500;0.2930964500;18.7465279167;0.2417412333;8.0990271500;0.3636258167;6.3306958500;0.2832951667;6.4868534000;0.2404666833;0E-10;0E-10;6.0410000000
0009;0.1312500000;143.6976217667;2.4839046833;-0.7075810667;9.8974772667;12.0068852167;1.3445488500;16.1441408500;28.2352103500;0.1027923167;0.2575996167;1.6463587500;29.6966851667;0.4726387500;48.4833333333;6.2429813833;0.8887480000;13.5339925167;0.3675015333;12.1155176833;0.2983526667;19.6383537667;0.2448013500;8.6186166167;0.3860704500;6.6641661167;0.2963413167;6.7078611333;0.2419721333;0E-10;0.3000000000;6.0410000000
0010;0.0437500000;139.4889900500;2.4204589833;-0.6948768000;9.6940542500;11.8315689167;1.3411760667;15.8682587667;28.0981660833;0.1021343000;0.2640541833;1.7284159167;30.6008403167;0.8261715000;49.0000000000;6.2431426833;0.9894178667;14.2620591833;0.3841021333;12.4662084167;0.2943710167;19.9352834000;0.2533387667;8.8556254333;0.3933657833;7.0278507667;0.3277921667;7.0611881000;0.2587499333;0E-10;0.0500000000;6.0410000000
